t,q0x,q0y,q0idle,q1x,q1y,q1idle,q2x,q2y,q2idle,q3x,q3y,q3idle,q4x,q4y,q4idle,q5x,q5y,q5idle,q6x,q6y,q6idle,q7x,q7y,q7idle
22,1,2,0,0,1,0,1,0,0,3,0,0,4,0,0,5,0,0,6,1,0,5,4,0
23,1,2,0,0,1,0,1,0,0,3,0,0,4,0,0,5,0,0,6,1,0,5,4,0
24,1,1,0,0,1,0,1,1,0,3,0,0,4,0,0,5,0,0,6,1,0,5,4,0
25,1,1,0,0,1,0,1,1,0,3,0,0,4,0,0,5,0,0,6,1,0,5,4,0
26,2,1,0,0,1,0,1,0,0,3,0,0,4,0,0,5,0,0,6,1,0,5,4,0
27,2,1,0,0,1,0,1,0,0,3,0,0,4,0,0,5,0,0,6,1,0,5,4,0
28,2,1,0,0,1,0,1,0,0,3,0,0,4,0,0,5,0,0,6,1,0,5,4,0
29,2,1,0,0,1,0,1,0,0,3,0,0,4,0,0,5,0,0,6,1,0,5,4,0
30,3,1,0,1,1,0,1,1,0,3,1,0,4,0,0,5,0,0,6,1,0,5,4,0
31,3,1,0,1,1,0,1,1,0,3,1,0,4,0,0,5,0,0,6,1,0,5,4,0
32,4,1,0,2,1,0,1,2,0,3,0,0,4,0,0,5,0,0,6,1,0,5,4,0
33,4,1,0,2,1,0,1,2,0,2,0,0,3,0,0,5,0,0,6,1,0,5,4,0
34,4,1,0,2,1,0,1,2,0,1,0,0,3,0,0,5,0,0,6,1,0,5,4,0
35,4,1,0,2,1,0,1,2,0,1,0,0,3,0,0,5,0,0,6,1,0,5,4,0
36,3,1,0,1,1,0,1,2,0,1,1,0,3,1,0,5,0,0,6,1,0,5,4,0
37,3,1,0,1,1,0,1,2,0,1,1,0,3,1,0,5,0,0,6,1,0,5,4,0
38,4,1,0,2,1,0,1,2,0,1,0,0,3,0,0,5,0,0,6,1,0,5,4,0
39,4,1,0,2,1,0,1,2,0,1,0,0,3,0,0,5,0,0,6,1,0,5,4,0
40,4,1,0,2,1,0,1,2,0,1,0,0,3,0,0,5,0,0,6,1,0,5,4,0
41,4,1,0,2,1,0,1,2,0,1,0,0,3,0,0,5,0,0,6,1,0,5,4,0
42,3,1,0,1,1,0,1,2,0,1,1,0,3,1,0,5,0,0,6,1,0,5,4,0
43,3,1,0,1,1,0,1,2,0,1,1,0,3,1,0,5,0,0,6,1,0,5,4,0
44,4,1,0,2,1,0,1,2,0,0,1,0,3,0,0,5,0,0,6,1,0,5,4,0
45,4,1,0,2,1,0,1,2,0,0,1,0,3,0,0,5,0,0,6,1,0,5,4,0
46,4,1,0,2,1,0,1,2,0,0,1,0,3,0,0,5,0,0,6,1,0,5,4,0
47,4,1,0,2,1,0,1,2,0,0,1,0,3,0,0,5,0,0,6,1,0,5,4,0
48,5,1,0,3,1,0,1,1,0,1,1,0,3,1,0,5,1,0,6,1,0,5,4,0
49,5,1,0,3,1,0,1,1,0,1,1,0,3,1,0,5,1,0,6,1,0,5,4,0
50,5,2,0,4,1,0,2,1,0,1,0,0,3,0,0,5,0,0,6,1,0,5,4,0
51,5,2,0,4,1,0,2,1,0,1,0,0,3,0,0,5,0,0,6,1,0,5,4,0
52,5,2,0,4,1,0,2,1,0,1,0,0,3,0,0,5,0,0,6,1,0,5,4,0
53,5,2,0,4,1,0,2,1,0,1,0,0,3,0,0,5,0,0,6,1,0,5,4,0
54,5,1,0,3,1,0,1,1,0,1,1,0,3,1,0,5,1,0,6,1,0,5,4,0
55,5,1,0,3,1,0,1,1,0,1,1,0,3,1,0,5,1,0,6,1,0,5,4,0
56,5,2,0,4,1,0,2,1,0,1,2,0,3,0,0,5,0,0,6,1,0,5,4,0
57,5,2,0,4,1,0,2,1,0,1,2,0,3,0,0,5,0,0,6,1,0,5,4,0
58,5,2,0,4,1,0,2,1,0,1,2,0,3,0,0,5,0,0,6,2,0,5,4,0
59,5,2,0,4,1,0,2,1,0,1,2,0,3,0,0,5,0,0,6,3,0,5,4,0
60,5,3,0,5,1,0,3,1,0,2,2,0,3,1,0,5,1,0,5,3,0,5,4,0
61,5,3,0,5,1,0,3,1,0,2,1,0,3,1,0,5,1,0,5,3,0,5,4,0
62,4,3,0,5,2,0,4,1,0,2,1,0,3,0,0,5,0,0,6,3,0,5,4,0
63,4,3,0,5,2,0,4,1,0,2,1,0,3,0,0,5,0,0,6,3,0,5,4,0
64,4,3,0,5,2,0,4,1,0,2,1,0,3,0,0,5,0,0,6,3,0,5,4,0
65,4,3,0,5,2,0,4,1,0,2,1,0,3,0,0,5,0,0,6,3,0,5,4,0
66,5,3,0,5,1,0,3,1,0,2,1,0,3,1,0,5,1,0,5,3,0,5,4,0
67,5,3,0,5,1,0,3,1,0,2,1,0,3,1,0,5,1,0,5,3,0,5,4,0
68,4,3,0,5,2,0,4,1,0,2,1,0,3,0,0,5,0,0,6,3,0,5,4,0
69,4,3,0,5,2,0,4,1,0,2,1,0,3,0,0,5,0,0,6,3,0,4,4,0
70,4,3,0,5,2,0,4,1,0,2,1,0,3,0,0,5,0,0,6,3,0,3,4,0
71,4,3,0,5,2,0,4,1,0,2,1,0,3,0,0,5,0,0,6,3,0,3,4,0
72,3,3,0,5,3,0,5,1,0,3,1,0,3,1,0,5,1,0,5,3,0,3,3,0
73,3,3,0,5,3,0,5,1,0,3,1,0,3,1,0,5,1,0,5,3,0,3,3,0
74,2,3,0,4,3,0,5,2,0,4,1,0,3,2,0,6,1,0,5,4,0,3,4,0
75,2,3,0,4,3,0,5,2,0,4,1,0,3,2,0,6,1,0,5,4,0,3,4,0
76,2,3,0,4,3,0,5,2,0,4,1,0,3,2,0,6,1,0,5,4,0,3,4,0
77,2,3,0,4,3,0,5,2,0,4,1,0,3,2,0,6,1,0,5,4,0,3,4,0
78,3,3,0,5,3,0,5,1,0,3,1,0,3,1,0,5,1,0,5,3,0,3,3,0
79,3,3,0,5,3,0,5,1,0,3,1,0,3,1,0,5,1,0,5,3,0,3,3,0
80,2,3,0,4,3,0,5,2,0,4,1,0,3,2,0,6,1,0,5,4,0,3,4,0
81,2,3,0,4,3,0,5,2,0,4,1,0,3,2,0,6,1,0,5,4,0,3,4,0
82,2,3,0,4,3,0,5,2,0,4,1,0,3,2,0,6,1,0,5,4,0,3,4,0
83,2,2,0,4,3,0,5,2,0,4,1,0,3,2,0,6,1,0,5,4,0,3,4,0
84,2,2,1,3,3,0,5,3,0,5,1,0,4,2,0,5,1,0,5,3,0,3,3,0
85,2,2,1,3,3,0,5,3,0,5,1,0,4,1,0,5,1,0,5,3,0,3,3,0
86,2,2,1,2,3,0,4,3,0,5,2,0,4,1,0,6,1,0,5,4,0,3,4,0
87,2,2,1,2,3,0,4,3,0,5,2,0,4,1,0,6,1,0,5,4,0,3,4,0
88,2,2,1,2,3,0,4,3,0,5,2,0,4,1,0,6,1,0,5,4,0,3,4,0
89,2,2,1,2,3,0,4,3,0,5,2,0,4,1,0,6,1,0,5,4,0,3,4,0
90,2,2,1,3,3,0,5,3,0,5,1,0,4,1,0,5,1,0,5,3,0,3,3,0
91,2,2,1,3,3,0,5,3,0,5,1,0,4,1,0,5,1,0,5,3,0,3,3,0
92,2,2,1,2,3,0,4,3,0,5,2,0,4,1,0,6,1,0,5,4,0,3,4,0
93,2,2,1,2,3,0,4,3,0,5,2,0,4,1,0,6,1,0,5,4,0,3,4,0
94,2,2,1,2,3,0,4,3,0,5,2,0,4,1,0,6,1,0,5,4,0,3,4,0
95,2,2,1,2,3,0,4,3,0,5,2,0,4,1,0,6,1,0,5,4,0,3,4,0
96,2,2,1,2,4,0,3,3,0,5,3,0,5,1,0,5,1,0,5,3,0,3,3,0
97,2,2,1,2,4,0,3,3,0,5,3,0,5,1,0,5,1,0,5,3,0,3,3,0
98,2,2,1,1,4,0,2,3,0,4,3,0,5,2,0,6,1,0,5,4,0,3,4,0
99,2,2,1,1,4,0,2,3,0,4,3,0,5,2,0,6,1,0,5,4,0,3,4,0
100,2,2,1,1,4,0,2,3,0,4,3,0,5,2,0,6,1,0,5,4,0,3,4,0
101,2,2,1,1,4,0,2,3,0,4,3,0,5,2,0,6,1,0,5,4,0,3,4,0
102,2,2,1,1,4,0,3,3,0,5,3,0,5,1,0,5,1,0,5,3,0,3,3,0
103,2,2,1,1,4,0,3,3,0,5,3,0,5,1,0,5,1,0,5,3,0,3,3,0
104,2,2,1,1,4,0,2,3,0,4,3,0,5,2,0,6,1,0,5,4,0,3,4,0
105,2,2,1,0,4,0,2,3,0,4,3,0,5,2,0,6,1,0,5,4,0,3,4,0
106,2,2,1,0,4,0,2,4,0,4,3,0,5,2,0,6,1,0,5,4,0,3,4,0
107,2,2,1,0,4,0,2,4,0,4,3,0,5,2,0,6,1,0,5,4,0,3,4,0
108,2,2,1,0,4,0,2,4,0,3,3,0,5,3,0,6,2,0,5,3,0,3,3,0
109,2,2,1,0,4,0,2,4,0,3,3,0,5,3,0,5,2,0,5,3,0,3,3,0
110,2,2,1,0,4,0,2,4,0,2,3,0,4,3,0,5,2,0,5,4,0,3,4,0
111,2,2,1,0,4,0,2,4,0,2,3,0,4,3,0,5,2,0,5,4,0,3,4,0
112,2,2,1,0,4,0,1,4,0,2,3,0,4,3,0,5,2,0,5,4,0,3,4,0
113,2,2,1,0,4,0,1,4,0,2,3,0,4,3,0,5,2,0,5,4,0,3,4,0
114,2,2,1,0,4,0,1,4,0,3,3,0,5,3,0,5,2,0,5,3,0,3,3,0
115,2,2,1,0,4,0,1,4,0,3,3,0,5,3,0,5,2,0,5,3,0,3,3,0
116,2,2,1,0,4,0,1,4,0,2,3,0,4,3,0,5,2,0,5,4,0,3,4,0
117,2,2,0,0,4,0,1,4,0,2,4,0,4,3,0,5,2,0,5,4,0,3,4,0
118,1,2,0,0,4,0,1,4,0,2,4,0,4,3,0,5,2,0,5,4,0,3,4,0
119,1,2,0,0,4,0,1,4,0,2,4,0,4,3,0,5,2,0,5,4,0,3,4,0
120,1,2,0,0,4,0,1,4,0,2,4,0,3,3,0,5,3,0,5,3,0,3,3,0
121,0,2,0,0,4,0,1,4,0,2,4,0,3,3,0,5,3,0,5,3,0,3,3,0
122,0,2,0,0,4,0,1,4,0,2,4,0,2,3,0,4,3,0,5,4,0,3,4,0
123,0,2,0,0,4,0,1,4,0,2,4,0,2,3,0,4,3,0,5,4,0,3,4,0
124,0,2,0,0,4,0,1,4,0,2,4,0,2,3,0,4,3,0,5,4,0,3,4,0
125,0,2,0,0,4,0,1,4,0,2,4,0,2,3,0,4,3,0,5,4,0,3,4,0
126,0,2,0,0,4,0,1,4,0,2,4,0,3,3,0,5,3,0,5,3,0,3,3,0
127,0,2,0,0,4,0,1,4,0,2,4,0,3,3,0,5,3,0,5,3,0,3,3,0
128,0,2,0,0,4,0,1,4,0,2,4,0,2,3,0,4,3,0,5,4,0,3,4,0
129,0,2,1,0,4,1,1,4,1,2,4,1,2,3,0,4,3,0,5,4,0,3,4,0
130,0,2,1,0,4,1,1,4,1,2,4,1,2,3,0,4,3,0,4,4,0,3,4,0
131,0,2,1,0,4,1,1,4,1,2,4,1,2,3,0,4,3,0,4,4,0,3,4,0
132,0,2,1,0,4,1,1,4,1,2,4,1,2,3,0,4,3,0,4,4,0,3,4,0
133,0,2,1,0,4,1,1,4,1,2,4,1,2,3,0,3,3,0,4,3,0,3,3,0
134,0,2,1,0,4,1,1,4,1,2,4,1,2,3,0,3,3,0,4,3,0,3,3,0
135,0,2,1,0,4,1,1,4,1,2,4,1,2,3,0,3,2,0,4,3,0,3,4,0
136,0,2,1,0,4,1,1,4,1,2,4,1,2,3,0,3,2,0,4,3,0,3,4,0
137,0,2,1,0,4,1,1,4,1,2,4,1,2,3,0,3,2,0,4,3,0,3,4,0
138,0,2,1,0,4,1,1,4,1,2,4,1,2,3,0,3,2,0,4,3,0,3,4,0
139,0,2,1,0,4,1,1,4,1,2,4,1,2,3,0,3,3,0,4,3,0,3,3,0
140,0,2,1,0,4,1,1,4,1,2,4,1,2,3,0,3,3,0,4,3,0,3,3,0
141,0,2,1,0,4,1,1,4,1,2,4,1,2,3,0,3,2,0,4,3,0,3,4,0
142,0,2,1,0,4,1,1,4,1,2,4,1,2,3,0,3,2,0,4,3,0,3,4,0
143,0,2,1,0,4,1,1,4,1,2,4,1,2,3,0,3,2,0,4,3,0,3,4,0
144,0,2,1,0,4,1,1,4,1,2,4,1,2,3,0,3,2,0,4,3,0,3,4,0
145,0,2,1,0,4,1,1,4,1,2,4,1,2,3,0,3,2,0,4,3,0,3,4,0
146,0,2,1,0,4,1,1,4,1,2,4,1,2,3,0,3,2,0,3,3,0,3,3,0
147,0,2,1,0,4,1,1,4,1,2,4,1,2,3,0,3,2,0,3,3,0,3,3,0
148,0,2,1,0,4,1,1,4,1,2,4,1,2,3,0,3,2,0,4,3,0,3,4,0
149,0,2,1,0,4,1,1,4,1,2,4,1,2,3,0,3,2,0,4,3,0,3,4,0
150,0,2,1,0,4,1,1,4,1,2,4,1,2,3,0,3,2,0,4,3,0,3,4,0
151,0,2,1,0,4,1,1,4,1,2,4,1,2,3,0,3,2,0,4,3,0,3,4,0
152,0,2,1,0,4,1,1,4,1,2,4,1,2,3,0,3,2,0,4,3,0,3,4,0
